ent_id,etype,month,p50,p_deficit,drivers,action
99,dairy_shg,2026-06-01,-16650.05406231117,0.9999999234739195,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
110,dairy_shg,2026-06-01,-10559.948868996496,0.9999999186437901,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
75,dairy_shg,2026-06-01,-12286.239480227046,0.9999999094191608,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
29,kharif_farmer,2026-06-01,-22070.48214549399,0.9999999046666449,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
34,kharif_farmer,2026-06-01,-24758.39303657467,0.9999998627133407,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
30,kharif_farmer,2026-06-01,-17283.352197622375,0.9999997930619805,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
33,kharif_farmer,2026-06-01,-22449.435865701602,0.9999997255527175,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
54,kharif_farmer,2026-03-01,-7080.687923193064,0.9999997194969475,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
57,kharif_farmer,2026-06-01,-13969.61941498906,0.9999996994256909,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
40,kharif_farmer,2026-05-01,-13013.437074167026,0.9999995828521993,mandi price falling; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
6,kharif_farmer,2026-06-01,-13471.38311468773,0.9999995650237519,rainfall deficit last month; missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
27,kharif_farmer,2026-05-01,-12771.347286567949,0.9999994926274972,rainfall deficit last month; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
5,kharif_farmer,2026-05-01,-9248.31440398164,0.9999992193861716,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
112,dairy_shg,2026-06-01,-11030.9455200591,0.999999212209778,rainfall deficit last month; mandi price falling; missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
26,kharif_farmer,2026-06-01,-13485.769481776188,0.9999992048332005,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
38,kharif_farmer,2026-06-01,-10827.669060008684,0.9999991090300019,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
34,kharif_farmer,2026-05-01,-9499.714386112086,0.9999990238323682,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
36,kharif_farmer,2026-05-01,-11343.014411474305,0.9999988563999529,mandi price falling; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
21,kharif_farmer,2026-06-01,-13505.507139999321,0.9999986087353196,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
23,kharif_farmer,2026-05-01,-7212.535274000264,0.9999982613203651,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
37,kharif_farmer,2026-05-01,-11300.998726805035,0.9999980107248952,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
48,kharif_farmer,2026-06-01,-13825.724370658554,0.9999972295139462,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
25,kharif_farmer,2026-06-01,-12422.855166880308,0.9999970154430893,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
12,kharif_farmer,2026-06-01,-22979.341827827513,0.9999964385537713,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
20,kharif_farmer,2026-06-01,-24113.92536909509,0.9999960254460718,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
7,kharif_farmer,2026-06-01,-18234.086617104014,0.9999959746453904,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
7,kharif_farmer,2026-05-01,-8214.41381281515,0.9999946563309218,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
15,kharif_farmer,2026-06-01,-20733.82325881614,0.9999934864918555,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
47,kharif_farmer,2026-06-01,-11245.180814334133,0.9999912042347885,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
16,kharif_farmer,2026-05-01,-7330.620208626683,0.999990640259064,seasonal pattern,Field visit within 2 weeks; assess restructuring / top-up need
17,kharif_farmer,2026-05-01,-6337.219121228337,0.9999888149160808,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
87,dairy_shg,2026-06-01,-9465.886079560023,0.9999872673634789,rainfall deficit last month; mandi price falling; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
44,kharif_farmer,2026-06-01,-22236.548291212534,0.9999870068223752,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
43,kharif_farmer,2026-06-01,-16527.4792976999,0.9999836577060373,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
9,kharif_farmer,2026-06-01,-24183.666773083412,0.9999824274189775,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
40,kharif_farmer,2026-06-01,-27509.93309384504,0.9999818073545236,mandi price falling; missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
104,dairy_shg,2026-06-01,-11080.363311201038,0.9999795039832565,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
8,kharif_farmer,2026-06-01,-13273.094068578212,0.9999776195111652,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
91,dairy_shg,2026-06-01,-10137.005723714748,0.9999616909660985,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
95,dairy_shg,2026-06-01,-10665.472377159567,0.9999534441512896,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
31,kharif_farmer,2026-06-01,-12722.006875929052,0.9999394143586239,rainfall deficit last month; mandi price falling; missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
50,kharif_farmer,2026-06-01,-13304.34089023947,0.9999366888021731,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
45,kharif_farmer,2026-06-01,-21020.948417214822,0.9999274653111245,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
12,kharif_farmer,2026-05-01,-11337.769052273308,0.9999244725645042,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
74,dairy_shg,2026-06-01,-8258.330095219962,0.9999073882291369,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
58,kharif_farmer,2026-06-01,-20736.33709993034,0.9998988065373194,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
26,kharif_farmer,2026-03-01,-5449.140217153378,0.99989207688169,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
19,kharif_farmer,2026-05-01,-10954.650502368519,0.9998886171415051,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
79,dairy_shg,2026-06-01,-9073.77869610218,0.9998732099192351,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
31,kharif_farmer,2026-05-01,-8154.352738423196,0.9998696927360827,rainfall deficit last month; mandi price falling; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
27,kharif_farmer,2026-01-01,-10924.204878057199,0.9998687203065961,rainfall deficit last month; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
27,kharif_farmer,2026-06-01,-29351.215669436166,0.9998667853837812,rainfall deficit last month; missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
54,kharif_farmer,2026-01-01,-6846.12036122453,0.999862344931552,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
15,kharif_farmer,2026-05-01,-7115.263989253537,0.9998247895372536,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
14,kharif_farmer,2026-05-01,-7304.931413793288,0.9998145806231341,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
32,kharif_farmer,2026-06-01,-11831.72687904238,0.9997624674731118,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
49,kharif_farmer,2026-06-01,-10114.818066529051,0.9997465328496742,rainfall deficit last month; missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
88,dairy_shg,2026-06-01,-8958.24387578084,0.9997121348253044,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
58,kharif_farmer,2026-05-01,-9665.314382404405,0.999703129827115,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
51,kharif_farmer,2026-05-01,-10199.217450186268,0.9996627701390361,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
3,kharif_farmer,2026-03-01,-6654.951026649197,0.9996564661295481,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
97,dairy_shg,2026-06-01,-8586.593049672587,0.9996408704716162,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
85,dairy_shg,2026-06-01,-9021.028170665677,0.9996290352746164,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
11,kharif_farmer,2026-06-01,-29324.994085325972,0.9995876161197981,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
42,kharif_farmer,2026-05-01,-11332.663286815443,0.9995419245664691,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
75,dairy_shg,2026-05-01,-7702.478609212271,0.9995326267541693,missed SHG deposits; repeated recent deficits,Field visit within 2 weeks; assess restructuring / top-up need
21,kharif_farmer,2026-03-01,-5701.309227534895,0.999492630793195,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
33,kharif_farmer,2026-05-01,-9972.864239851915,0.9994793613515486,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
46,kharif_farmer,2026-05-01,-6158.578744346887,0.9994182899010072,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
39,kharif_farmer,2026-01-01,-4625.182811019444,0.9994141941624565,rainfall deficit last month,Field visit within 2 weeks; assess restructuring / top-up need
39,kharif_farmer,2026-05-01,-6425.286398356082,0.9993848637815295,rainfall deficit last month,Field visit within 2 weeks; assess restructuring / top-up need
3,kharif_farmer,2026-02-01,-9244.932836329115,0.9993189020374146,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
78,dairy_shg,2026-06-01,-11994.207803733514,0.9993168094943338,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
55,kharif_farmer,2026-03-01,-5585.12640889927,0.999283124654681,seasonal pattern,Field visit within 2 weeks; assess restructuring / top-up need
29,kharif_farmer,2026-05-01,-11225.647749531845,0.9992770853153906,seasonal pattern,Field visit within 2 weeks; assess restructuring / top-up need
2,kharif_farmer,2026-01-01,-6229.564160423649,0.9992477936752188,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
60,kharif_farmer,2026-05-01,-6298.630569576505,0.9992150751017543,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
56,kharif_farmer,2026-06-01,-23509.908040763476,0.9991965571400354,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
101,dairy_shg,2026-06-01,-8195.778882504144,0.9991725197497409,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
86,dairy_shg,2026-06-01,-8599.580060334165,0.999114340817919,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
34,kharif_farmer,2026-03-01,-6482.0275301803085,0.9990656614282188,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
42,kharif_farmer,2026-06-01,-24491.967001290403,0.9990291868565309,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
79,dairy_shg,2026-05-01,-6461.343509643365,0.999000440504463,missed SHG deposits; repeated recent deficits,Field visit within 2 weeks; assess restructuring / top-up need
83,dairy_shg,2026-06-01,-8203.941044628145,0.9989812779163382,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
13,kharif_farmer,2026-02-01,-7186.541129790203,0.998870409235558,rainfall deficit last month; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
18,kharif_farmer,2026-03-01,-4650.267004434734,0.998862167894573,rainfall deficit last month; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
104,dairy_shg,2026-05-01,-8323.1628019376,0.9988080936341769,missed SHG deposits; repeated recent deficits,Field visit within 2 weeks; assess restructuring / top-up need
24,kharif_farmer,2026-01-01,-8233.339832615924,0.9988007049373988,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
54,kharif_farmer,2026-02-01,-7112.938785009311,0.9987721238962372,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
27,kharif_farmer,2026-02-01,-12471.777470249857,0.9987690947757201,rainfall deficit last month; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
36,kharif_farmer,2026-01-01,-8936.580571769658,0.9987513670275489,mandi price falling; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
53,kharif_farmer,2026-05-01,-7796.869420643648,0.9987192504936793,rainfall deficit last month,Field visit within 2 weeks; assess restructuring / top-up need
2,kharif_farmer,2026-05-01,-6553.1334392361705,0.9985008930626347,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
11,kharif_farmer,2026-05-01,-12533.347745720273,0.9984539116015059,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
39,kharif_farmer,2026-03-01,-4090.632531904019,0.9984466709124793,rainfall deficit last month,Field visit within 2 weeks; assess restructuring / top-up need
26,kharif_farmer,2026-05-01,-5758.275232092331,0.9984430112579159,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
59,kharif_farmer,2026-06-01,-29230.38478711724,0.998361137862426,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
21,kharif_farmer,2026-05-01,-5604.484495619789,0.9983424745174837,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
107,dairy_shg,2026-06-01,-8759.191058093362,0.998259066222656,mandi price falling; missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
113,dairy_shg,2026-06-01,-5360.047868596502,0.9982589231074034,rainfall deficit last month; UPI inflows declining; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
110,dairy_shg,2026-05-01,-7407.888622727387,0.9982406227553711,missed SHG deposits; repeated recent deficits,Field visit within 2 weeks; assess restructuring / top-up need
64,dairy_shg,2026-06-01,-10616.775548315934,0.9982040175659405,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
52,kharif_farmer,2026-05-01,-6038.2059199436235,0.9980896216427086,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
62,dairy_shg,2026-06-01,-10728.901761442541,0.9979388479021685,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
74,dairy_shg,2026-05-01,-5514.80426638063,0.9979314683122237,missed SHG deposits; repeated recent deficits,Field visit within 2 weeks; assess restructuring / top-up need
46,kharif_farmer,2026-01-01,-5533.181294528436,0.9979246881920033,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
22,kharif_farmer,2026-05-01,-7019.44206271144,0.9977638508297393,seasonal pattern,Field visit within 2 weeks; assess restructuring / top-up need
77,dairy_shg,2026-06-01,-7945.381470614483,0.9977460334158157,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
10,kharif_farmer,2026-05-01,-4400.039475406319,0.9977148029012501,seasonal pattern,Field visit within 2 weeks; assess restructuring / top-up need
13,kharif_farmer,2026-03-01,-5724.29076634278,0.9975890122004665,rainfall deficit last month; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
27,kharif_farmer,2026-03-01,-9519.853507626774,0.9975494429218428,rainfall deficit last month; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
5,kharif_farmer,2026-03-01,-5655.112819716089,0.9975293162241615,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
40,kharif_farmer,2026-02-01,-10962.776713936695,0.9975148903724362,mandi price falling; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
28,kharif_farmer,2026-03-01,-4706.154884598743,0.9974337487767937,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
1,kharif_farmer,2026-05-01,-9070.883669235998,0.997355760177819,seasonal pattern,Field visit within 2 weeks; assess restructuring / top-up need
91,dairy_shg,2026-05-01,-6810.0959582288715,0.9973407583223819,missed SHG deposits; repeated recent deficits,Field visit within 2 weeks; assess restructuring / top-up need
2,kharif_farmer,2026-03-01,-4258.860316604836,0.9973052963848323,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
82,dairy_shg,2026-06-01,-4748.717127245382,0.9973036968977128,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
17,kharif_farmer,2026-02-01,-4826.119516638291,0.9972183662110171,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
31,kharif_farmer,2026-03-01,-5725.096288282072,0.9970618271616696,rainfall deficit last month; mandi price falling; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
38,kharif_farmer,2026-03-01,-5734.400937714687,0.996837690555488,seasonal pattern,Field visit within 2 weeks; assess restructuring / top-up need
24,kharif_farmer,2026-02-01,-9623.65227717248,0.9963909454326068,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
40,kharif_farmer,2026-01-01,-10940.248431143598,0.9962777941115907,mandi price falling; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
112,dairy_shg,2026-05-01,-7108.299006506064,0.9961910539722484,rainfall deficit last month; mandi price falling; missed SHG deposits; repeated recent deficits,Field visit within 2 weeks; assess restructuring / top-up need
40,kharif_farmer,2026-03-01,-8804.785140650394,0.9961898597320356,mandi price falling; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
28,kharif_farmer,2026-05-01,-6160.327083862304,0.9960770082720597,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
76,dairy_shg,2026-05-01,-6361.045769087369,0.9960646901865511,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
117,dairy_shg,2026-06-01,-9229.84206565764,0.9959791952292956,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
19,kharif_farmer,2026-01-01,-8426.791515541578,0.9959157951291459,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
20,kharif_farmer,2026-05-01,-9390.004394462272,0.9959055848570871,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
2,kharif_farmer,2026-02-01,-6634.0233501252405,0.9958329672062509,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
36,kharif_farmer,2026-03-01,-8493.88089506342,0.995814449439625,mandi price falling; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
114,dairy_shg,2026-05-01,-8019.4566302382955,0.9957052174919688,missed SHG deposits; repeated recent deficits,Field visit within 2 weeks; assess restructuring / top-up need
50,kharif_farmer,2026-05-01,-5982.335941705629,0.9956619914090645,seasonal pattern,Field visit within 2 weeks; assess restructuring / top-up need
34,kharif_farmer,2026-02-01,-7658.5285049783115,0.9954327336820397,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
44,kharif_farmer,2026-05-01,-8008.935297798173,0.9953333488417792,seasonal pattern,Field visit within 2 weeks; assess restructuring / top-up need
84,dairy_shg,2026-06-01,-5642.244539550319,0.9949423395863175,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
16,kharif_farmer,2026-02-01,-5769.537087133882,0.9947916179693582,seasonal pattern,Field visit within 2 weeks; assess restructuring / top-up need
19,kharif_farmer,2026-02-01,-10040.197084697182,0.9946209788085588,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
23,kharif_farmer,2026-03-01,-4503.702222094692,0.994544224652154,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
24,kharif_farmer,2026-03-01,-7369.452867991422,0.9945118679206947,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
3,kharif_farmer,2026-01-01,-7382.553186631719,0.9944169339779658,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
17,kharif_farmer,2026-01-01,-5038.6962877400565,0.9943678208177165,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
71,dairy_shg,2026-06-01,-7841.646611443887,0.9942408715950324,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
19,kharif_farmer,2026-03-01,-7573.169044809758,0.9940290794900685,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
62,dairy_shg,2026-05-01,-7927.3511685076455,0.9938920521811855,missed SHG deposits; repeated recent deficits,Field visit within 2 weeks; assess restructuring / top-up need
12,kharif_farmer,2026-01-01,-8330.39322592946,0.9938820717910493,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
34,kharif_farmer,2026-04-01,-7536.897138657904,0.9936682116450827,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
23,kharif_farmer,2026-01-01,-5577.12559350762,0.9936401766918707,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
120,dairy_shg,2026-06-01,-7520.088016455153,0.9931182330829296,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
